date,generated_at,documents,pulsobo_index,pulsobo_level,optimism_index,optimism_level,stress_average,favorable_percentage,neutral_percentage,unfavorable_percentage,top_topic,top_entity,top_indicator,historical_documents,operational_window_hours,top_topic_score,top_topic_momentum,top_entity_score,top_entity_momentum,top_indicator_score,top_indicator_momentum
2026-07-11,2026-07-11T10:38:03.472437+00:00,209,39.86,bajo,59.36,moderado,57.42,26.32,58.37,15.31,"Sector productivo, automotor y actividad empresarial",BCB,tipo de cambio,,,,,,,,
2026-07-12,2026-07-12T10:46:47.164286+00:00,215,39.58,bajo,58.75,moderado,57.3,26.05,59.07,14.88,"Comercio exterior, desarrollo y empresas",BCB,tipo de cambio,,,,,,,,
2026-07-13,2026-07-13T12:21:54.811761+00:00,218,39.39,bajo,59.69,moderado,57.13,26.15,59.17,14.68,"Sector productivo, automotor y actividad empresarial",BCB,tipo de cambio,,,,,,,,
2026-07-14,2026-07-14T11:01:17.956477+00:00,232,39.21,bajo,59.53,moderado,56.96,25.43,59.91,14.66,"Precios, alimentos y servicios básicos",BCB,tipo de cambio,,,,,,,,
2026-07-15,2026-07-15T11:06:51.864337+00:00,249,39.39,bajo,58.59,moderado,56.86,24.9,59.84,15.26,"Tipo de cambio, divisas y abastecimiento de combustibles",BCB,tipo de cambio,,,,,,,,
2026-07-16,2026-07-16T11:15:39.675151+00:00,265,39.0,bajo,57.63,moderado,56.49,24.15,60.75,15.09,"Sector productivo, automotor y actividad empresarial",BCB,tipo de cambio,,,,,,,,
2026-07-17,2026-07-17T11:03:10.462600+00:00,49,38.87,bajo,44.41,bajo,53.16,20.41,63.27,16.33,"Comercio exterior, desarrollo y empresas",SIN,tipo de cambio,272.0,72.0,56.3,emergente,55.95,emergente,63.87,emergente
2026-07-18,2026-07-18T10:45:42.460208+00:00,52,38.61,bajo,43.41,bajo,52.12,21.15,65.38,13.46,"Tipo de cambio, divisas y abastecimiento de combustibles",Banco Mundial,tipo de cambio,288.0,72.0,64.12,emergente,53.84,emergente,60.3,emergente
2026-07-19,2026-07-19T10:48:13.339231+00:00,45,38.41,bajo,45.82,moderado,53.29,24.44,62.22,13.33,"Producción, inversión y régimen cambiario",ASFI,exportaciones,297.0,72.0,55.41,estable,54.04,emergente,51.03,emergente
2026-07-20,2026-07-20T12:01:17.085992+00:00,35,38.37,bajo,45.47,moderado,52.17,22.86,65.71,11.43,"Política fiscal, gestión pública y sistema financiero",IBCE,combustibles,298.0,72.0,45.99,estable,48.93,emergente,48.99,en descenso
2026-07-21,2026-07-21T11:23:10.581598+00:00,32,38.89,bajo,41.52,bajo,56.72,28.12,53.12,18.75,"Precios, alimentos y servicios básicos",YPFB,combustibles,307.0,72.0,53.88,emergente,55.89,emergente,55.45,emergente
2026-07-22,2026-07-22T11:24:31.734608+00:00,35,39.54,bajo,29.7,bajo,62.49,20.0,51.43,28.57,"Política fiscal, gestión pública y sistema financiero",YPFB,combustibles,320.0,72.0,69.41,emergente,63.68,emergente,60.56,emergente
2026-07-23,2026-07-23T11:23:28.113368+00:00,53,39.05,bajo,37.83,bajo,58.45,20.75,58.49,20.75,"Producción, inversión y régimen cambiario",BCB,sistema financiero,338.0,72.0,58.45,emergente,67.94,emergente,71.48,emergente
2026-07-24,2026-07-24T11:16:43.548710+00:00,56,38.92,bajo,38.95,bajo,57.86,21.43,60.71,17.86,"Sector productivo, automotor y actividad empresarial",BCB,sistema financiero,347.0,72.0,65.93,emergente,65.83,emergente,72.94,emergente
